KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00925,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00625,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13788,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01895,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00193,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00577,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00578,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00579,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00580,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00581,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00582,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00583,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00584,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14080,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K04480,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14081,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00317,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14082,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16176,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16177,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14083,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14084,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16178,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16179,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00399,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00401,,,,,,,,
